,precision,recall,f1-score,support
BENIGN,0.9999581358557582,0.9999537293076362,0.9999559325768426,453851.0
Bot,0.9974424552429667,0.9923664122137404,0.9948979591836735,393.0
DDoS,0.9999609405515194,0.9999609405515194,0.9999609405515194,25602.0
DoS GoldenEye,1.0,0.9990281827016521,0.9995138551288284,2058.0
DoS Hulk,0.9996536421690659,0.9999133880432194,0.9997834982355106,46183.0
DoS Slowhttptest,1.0,0.9945454545454545,0.9972652689152234,1100.0
DoS slowloris,1.0,0.993960310612597,0.9969710082215492,1159.0
FTP-Patator,0.9993702770780857,1.0,0.9996850393700787,1587.0
Heartbleed,1.0,1.0,1.0,1.0
Infiltration,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
PortScan,0.9999685376289957,0.9999056188258982,0.9999370772376908,31786.0
SSH-Patator,0.9991525423728813,1.0,0.9995760915642221,1179.0
Web Attack - Brute Force,0.9900662251655629,0.9933554817275747,0.9917081260364843,301.0
Web Attack - SQL Injection,0.5714285714285714,1.0,0.7272727272727273,4.0
Web Attack - XSS,0.9624060150375939,0.9846153846153847,0.973384030418251,130.0
accuracy,0.9999080201152932,0.9999080201152932,0.9999080201152932,0.9999080201152932
macro avg,0.9584366799782573,0.9876498506858357,0.9691369607903637,565341.0
weighted avg,0.9999105120657222,0.9999080201152932,0.9999087812990836,565341.0
