Feature,Importance
bwd_packet_length_std,0.09922084
idle_max,0.09704889
port_group_FTP,0.085484214
average_packet_size,0.06888474
act_data_pkt_fwd,0.058454804
bwd_packet_length_mean,0.05468052
psh_flag_count,0.0525841
port_group_SSH,0.047808852
bwd_header_length,0.041664973
total_backward_packets,0.030531349
fwd_psh_flags,0.027037136
port_group_Other,0.025637155
total_fwd_packets,0.025614908
fwd_packet_length_max,0.023694694
total_length_of_fwd_packets,0.023194311
fwd_iat_std,0.021393046
fwd_header_length,0.016937334
flow_bytes_s,0.015115196
port_group_Web,0.014217563
active_std,0.013395455
max_packet_length,0.013388038
active_min,0.012592083
bwd_packets_s,0.012335479
hour_of_day,0.010879213
active_mean,0.010000975
destination_port,0.008704621
idle_std,0.007926358
flow_packets_s,0.0075836787
idle_min,0.00752233
fwd_packet_length_std,0.0074390015
total_length_of_bwd_packets,0.0069865296
init_win_bytes_backward,0.0060447273
bwd_iat_min,0.005586137
urg_flag_count,0.0051751896
fin_flag_count,0.0047115893
flow_iat_mean,0.0038899463
flow_iat_min,0.0037464811
fwd_iat_min,0.003644299
bwd_iat_max,0.0023746795
fwd_packet_length_min,0.0022719232
source_port,0.002026529
fwd_packet_length_mean,0.0014054318
flow_duration,0.0013643234
bwd_packet_length_max,0.0009207797
idle_mean,0.00086771906
min_packet_length,0.00081132137
init_win_bytes_forward,0.000795403
min_seg_size_forward,0.0007767473
flow_iat_std,0.0007423298
flow_iat_max,0.0005721943
bwd_iat_std,0.0005446539
packet_length_std,0.00051820715
bwd_iat_mean,0.0005127494
bwd_iat_total,0.0003796654
fwd_iat_total,0.00037272114
down_up_ratio,0.00031529515
packet_length_mean,0.00031382227
fwd_iat_mean,0.00027466836
fwd_packets_s,0.00024583275
avg_fwd_segment_size,0.00018622311
active_max,0.00018233918
packet_length_variance,0.00017607037
ack_flag_count,0.00013290092
bwd_packet_length_min,7.7804514e-05
fwd_iat_max,6.840096e-05
protocol_0,1.254878e-05
fwd_urg_flags,0.0
bwd_psh_flags,0.0
bwd_urg_flags,0.0
syn_flag_count,0.0
cwe_flag_count,0.0
ece_flag_count,0.0
rst_flag_count,0.0
subflow_bwd_packets,0.0
subflow_fwd_packets,0.0
subflow_fwd_bytes,0.0
bwd_avg_packets_bulk,0.0
bwd_avg_bulk_rate,0.0
fwd_avg_packets_bulk,0.0
fwd_avg_bytes_bulk,0.0
avg_bwd_segment_size,0.0
subflow_bwd_bytes,0.0
fwd_avg_bulk_rate,0.0
bwd_avg_bytes_bulk,0.0
protocol_6,0.0
protocol_17,0.0
